집계년도,시군명,전체기관명,대표전화번호,관할구역명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2026,가평군,경기도 가평소방서,031-580-0213,가평군 일원,12419,경기도 가평군 가평읍 대곡리 213-5번지,경기도 가평군 가평읍 가화로 36,37.8233432000,127.5165895000
2026,고양시,경기도 고양소방서,031-931-0213,고양시 덕양구 일원,10455,경기도 고양시 덕양구 성사동 740번지,경기도 고양시 덕양구 고양대로 1342,37.6550924000,126.8332082000
2026,고양시,경기도 일산소방서,031-930-0214,"고양시 일산동구, 서구 일원",10401,경기도 고양시 일산동구 장항동 779번지,경기도 고양시 일산동구 중앙로 1325,37.6632693000,126.7696083000
2026,과천시,경기도 과천소방서,02-331-4214,과천시 일원,13807,경기도 과천시 중앙동 40번지,경기도 과천시 통영로 12,37.4285560000,126.9905201000
2026,광명시,경기도 광명소방서,02-2610-3214,광명시 일원,14316,경기도 광명시 소하동 1336번지,경기도 광명시 금하로 472,37.4487323000,126.8851732000
2026,광주시,경기도 광주소방서,031-799-2213,광주시 일원,12735,경기도 광주시 초월읍 대쌍령리 450-7번지,경기도 광주시 초월읍 무들로 112,37.3855958000,127.2995138000
2026,구리시,경기도 구리소방서,031-570-6214,구리시 일원,11952,경기도 구리시 교문동 354-6번지,경기도 구리시 아차산로487번길 46,37.5982803000,127.1278304000
2026,군포시,경기도 군포소방서,031-479-8214,군포시 일원,15870,경기도 군포시 산본동 1156번지,경기도 군포시 고산로 429,37.3525686000,126.9271146000
2026,김포시,경기도 김포소방서,031-980-4214,김포시 일원,10092,경기도 김포시 걸포동 1550-18번지,경기도 김포시 감암로 111,37.6415499000,126.7085118000
2026,남양주시,경기도 남양주소방서,031-590-0214,남양주시 일원,12224,경기도 남양주시 평내동 570번지,경기도 남양주시 평내로 25,37.6433241000,127.2322178000
2026,동두천시,경기도 동두천소방서,031-830-5212,동두천시 일원,11349,경기도 동두천시 지행동 717번지,경기도 동두천시 지행로 6,37.8922638000,127.0476416000
2026,부천시,경기도 부천소방서,032-650-4215,부천시 일원,14612,경기도 부천시 원미구 중동 1218번지,경기도 부천시 원미구 신흥로 115,37.4939958000,126.7779682000
2026,성남시,경기도 분당소방서,031-8018-3114,성남시 분당구 일원,13590,경기도 성남시 분당구 서현동 278번지,경기도 성남시 분당구 양현로 14,37.3860459000,127.1194835000
2026,성남시,경기도 성남소방서,031-720-0213,"성남시 수정구, 중원구 일원",13409,경기도 성남시 중원구 하대원동 2번지,경기도 성남시 중원구 마지로 64,37.4278976000,127.1369602000
